request_id,category,source_field,value,name,type,total_dependencies_for_request
55,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,12
55,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,12
55,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,12
56,planning_instruments,development_plan,Bebauungsplan Wohldorf-Ohlstedt 17,,,13
56,planning_instruments,plan_name,Wohldorf-Ohlstedt 17,,,13
56,planning_instruments,plan_type,Bebauungsplan,,,13
56,planning_instruments,plan_primary_type,development_plan,,,13
56,planning_instruments,plan_references,,Wohldorf-Ohlstedt 17,development_plan,13
56,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,13
56,regulatory_ordinances,_notes,Baunutzungsverordnung,,,13
56,regulation_texts,regulations,"WA IIo 6 residential units per 2500 sqm property, only single houses, GRZ 0.3",,,13
56,regulation_texts,zone_code,WA IIo,,,13
56,preliminary_decision_documents,preliminary_decision_gz,"08291/2019 from December 10, 2019",,,13
56,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 4 BaumschutzVO,,,13
56,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 4 BaumschutzVO,,,13
56,granted_exemption_legal_references,granted_exemptions.1.text,§ 4,,,13
57,planning_instruments,development_plan,Bebauungsplan Billstedt 90,,,36
57,planning_instruments,plan_name,Billstedt 90,,,36
57,planning_instruments,plan_type,Bebauungsplan,,,36
57,planning_instruments,plan_primary_type,development_plan,,,36
57,planning_instruments,plan_references,,Billstedt 90,development_plan,36
57,planning_instruments,plan_references,,green space plan Billstedt 90,green_space_plan,36
57,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,36
57,regulatory_ordinances,_notes,"Baunutzungsverordnung from January 23, 1990",,,36
57,regulatory_ordinances,_notes,Green ordinance plan Billstedt 90,,,36
57,regulation_texts,regulations,WR I o; 2 residential units; GRZ 0.3; only single houses allowed,,,36
57,regulation_texts,zone_code,WR I o,,,36
57,landscape_conservation_documents,plan_references,,green space plan Billstedt 90,green_space_plan,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 2 BauGB,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 23 BauNVO,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 1 BauGB,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 9 Abs. 13 BauGB,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 2 BPlanVO,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 69 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 6 Abs. 5 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 9 Abs. 2 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 31 Abs. 2 BauGB,,,36
57,granted_exemption_legal_references,granted_exemptions.1.text,§ 31 paragraph 2,,,36
57,granted_exemption_legal_references,granted_exemptions.1.text,§ 23,,,36
57,granted_exemption_legal_references,granted_exemptions.1.1.1.text,§ 23,,,36
57,granted_exemption_legal_references,granted_exemptions.2.legal_ref,§ 31 Abs. 1 BauGB,,,36
57,granted_exemption_legal_references,granted_exemptions.2.text,§ 31 paragraph 1,,,36
57,granted_exemption_legal_references,granted_exemptions.2.text,§ 9,,,36
57,granted_exemption_legal_references,granted_exemptions.2.text,§ 2,,,36
57,granted_exemption_legal_references,granted_exemptions.2.2.1.text,§ 9,,,36
57,granted_exemption_legal_references,granted_exemptions.2.2.1.text,§ 2,,,36
57,granted_exemption_legal_references,granted_exemptions.3.legal_ref,§ 69 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.3.text,§ 69 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.3.text,§ 6 paragraph 5 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.3.text,§ 9 paragraph 2 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.3.3.1.text,§ 6 paragraph 5 HBauO,,,36
57,granted_exemption_legal_references,granted_exemptions.3.3.2.text,§ 9 paragraph 2 HBauO,,,36
58,planning_instruments,development_plan,"Bebauungsplan Lurup 13 (established on September 1, 1964)",,,12
58,planning_instruments,plan_name,"Lurup 13 (established on September 1, 1964)",,,12
58,planning_instruments,plan_type,Bebauungsplan,,,12
58,planning_instruments,plan_primary_type,development_plan,,,12
58,planning_instruments,plan_references,,"Lurup 13 (established on September 1st, 1964)",development_plan,12
58,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,12
58,regulatory_ordinances,_notes,"Baunutzungsverordnung from June 26, 1962",,,12
58,regulation_texts,regulations,"WR I o, building boundaries, depth 15 m, GRZ and GFZ 0.4",,,12
58,regulation_texts,zone_code,WR I o,,,12
58,granted_exemption_legal_references,granted_exemptions.legal_refs,§ 31 Abs. 2 BauGB,,,12
58,granted_exemption_legal_references,granted_exemptions.1.legal_ref,§ 31 Abs. 2 BauGB,,,12
58,granted_exemption_legal_references,granted_exemptions.1.text,§ 31 paragraph 2,,,12
59,planning_instruments,development_plan,Bebauungsplan Wilhelmsburg 71,,,15
59,planning_instruments,plan_name,Wilhelmsburg 71,,,15
59,planning_instruments,plan_type,Bebauungsplan,,,15
59,planning_instruments,plan_primary_type,development_plan,,,15
59,planning_instruments,plan_references,,Wilhelmsburg 71,development_plan,15
59,regulatory_ordinances,legal_ordinance,BauNutzungsverordnung,,,15
